INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
10;15.11.2020 0:00:00;1;0;95436
11;15.11.2020 0:00:00;1;0;96039
12;15.11.2020 0:00:00;1;0;95580
13;15.11.2020 0:00:00;1;0;95939
14;15.11.2020 0:00:00;1;0;96629
15;15.11.2020 0:00:00;1;0;98197
16;15.11.2020 0:00:00;1;0;100850
17;15.11.2020 0:00:00;1;0;100969
18;15.11.2020 0:00:00;1;0;100014
19;15.11.2020 0:00:00;1;0;98298
20;15.11.2020 0:00:00;1;0;96435
21;15.11.2020 0:00:00;1;0;93212
22;15.11.2020 0:00:00;1;0;89742
23;15.11.2020 0:00:00;1;0;86994
0;16.11.2020 0:00:00;1;0;84736
1;16.11.2020 0:00:00;1;0;83659
2;16.11.2020 0:00:00;1;0;83477
3;16.11.2020 0:00:00;1;0;83576
4;16.11.2020 0:00:00;1;0;85575
5;16.11.2020 0:00:00;1;0;89675
6;16.11.2020 0:00:00;1;0;95603
7;16.11.2020 0:00:00;1;0;99242
8;16.11.2020 0:00:00;1;0;103024
9;16.11.2020 0:00:00;1;0;104333
10;16.11.2020 0:00:00;1;0;104321
11;16.11.2020 0:00:00;1;0;103049
12;16.11.2020 0:00:00;1;0;103477
13;16.11.2020 0:00:00;1;0;103345
14;16.11.2020 0:00:00;1;0;103000
15;16.11.2020 0:00:00;1;0;104205
16;16.11.2020 0:00:00;1;0;105749
17;16.11.2020 0:00:00;1;0;105178
18;16.11.2020 0:00:00;1;0;103815
19;16.11.2020 0:00:00;1;0;101813
20;16.11.2020 0:00:00;1;0;99704
21;16.11.2020 0:00:00;1;0;96355
22;16.11.2020 0:00:00;1;0;92202
23;16.11.2020 0:00:00;1;0;88904
0;17.11.2020 0:00:00;1;0;86595
1;17.11.2020 0:00:00;1;0;85346
2;17.11.2020 0:00:00;1;0;85001
3;17.11.2020 0:00:00;1;0;85810
4;17.11.2020 0:00:00;1;0;87486
5;17.11.2020 0:00:00;1;0;91076
6;17.11.2020 0:00:00;1;0;96551
7;17.11.2020 0:00:00;1;0;100218
8;17.11.2020 0:00:00;1;0;104172
9;17.11.2020 0:00:00;1;0;104559
10;17.11.2020 0:00:00;1;0;104431
11;17.11.2020 0:00:00;1;0;103691
12;17.11.2020 0:00:00;1;0;103345
13;17.11.2020 0:00:00;1;0;103465
14;17.11.2020 0:00:00;1;0;103497
15;17.11.2020 0:00:00;1;0;104210
16;17.11.2020 0:00:00;1;0;106470
17;17.11.2020 0:00:00;1;0;105741
18;17.11.2020 0:00:00;1;0;104728
19;17.11.2020 0:00:00;1;0;102319
20;17.11.2020 0:00:00;1;0;100434
21;17.11.2020 0:00:00;1;0;97067
22;17.11.2020 0:00:00;1;0;92081
23;17.11.2020 0:00:00;1;0;89496
0;18.11.2020 0:00:00;1;0;87375
1;18.11.2020 0:00:00;1;0;86144
2;18.11.2020 0:00:00;1;0;85692
3;18.11.2020 0:00:00;1;0;85814
4;18.11.2020 0:00:00;1;0;87765
5;18.11.2020 0:00:00;1;0;91849
6;18.11.2020 0:00:00;1;0;97166
7;18.11.2020 0:00:00;1;0;101551
8;18.11.2020 0:00:00;1;0;105062
9;18.11.2020 0:00:00;1;0;105829
10;18.11.2020 0:00:00;1;0;105566
11;18.11.2020 0:00:00;1;0;105131
12;18.11.2020 0:00:00;1;0;104591
13;18.11.2020 0:00:00;1;0;105036
14;18.11.2020 0:00:00;1;0;105014
15;18.11.2020 0:00:00;1;0;106220
16;18.11.2020 0:00:00;1;0;107053
17;18.11.2020 0:00:00;1;0;106762
18;18.11.2020 0:00:00;1;0;105329
19;18.11.2020 0:00:00;1;0;102844
20;18.11.2020 0:00:00;1;0;101209
21;18.11.2020 0:00:00;1;0;97874
22;18.11.2020 0:00:00;1;0;93490
23;18.11.2020 0:00:00;1;0;90132
0;19.11.2020 0:00:00;1;0;87864
1;19.11.2020 0:00:00;1;0;86813
2;19.11.2020 0:00:00;1;0;85887
3;19.11.2020 0:00:00;1;0;86325
4;19.11.2020 0:00:00;1;0;88280
5;19.11.2020 0:00:00;1;0;92041
6;19.11.2020 0:00:00;1;0;97057
7;19.11.2020 0:00:00;1;0;101254
8;19.11.2020 0:00:00;1;0;104151
9;19.11.2020 0:00:00;1;0;105596
10;19.11.2020 0:00:00;1;0;105735
11;19.11.2020 0:00:00;1;0;105031
12;19.11.2020 0:00:00;1;0;104649
13;19.11.2020 0:00:00;1;0;104921
14;19.11.2020 0:00:00;1;0;104869
15;19.11.2020 0:00:00;1;0;105685
16;19.11.2020 0:00:00;1;0;107506
17;19.11.2020 0:00:00;1;0;106531
18;19.11.2020 0:00:00;1;0;105398
19;19.11.2020 0:00:00;1;0;102728
20;19.11.2020 0:00:00;1;0;100479
21;19.11.2020 0:00:00;1;0;97231
22;19.11.2020 0:00:00;1;0;92913
23;19.11.2020 0:00:00;1;0;89613
0;20.11.2020 0:00:00;1;0;87688
1;20.11.2020 0:00:00;1;0;86177
2;20.11.2020 0:00:00;1;0;86137
3;20.11.2020 0:00:00;1;0;86239
4;20.11.2020 0:00:00;1;0;88086
5;20.11.2020 0:00:00;1;0;92111
6;20.11.2020 0:00:00;1;0;97306
7;20.11.2020 0:00:00;1;0;101386
8;20.11.2020 0:00:00;1;0;104741
9;20.11.2020 0:00:00;1;0;106129
10;20.11.2020 0:00:00;1;0;105932
11;20.11.2020 0:00:00;1;0;105276
12;20.11.2020 0:00:00;1;0;105289
13;20.11.2020 0:00:00;1;0;105000
14;20.11.2020 0:00:00;1;0;105236
15;20.11.2020 0:00:00;1;0;105419
16;20.11.2020 0:00:00;1;0;106996
17;20.11.2020 0:00:00;1;0;106065
18;20.11.2020 0:00:00;1;0;104933
19;20.11.2020 0:00:00;1;0;102579
20;20.11.2020 0:00:00;1;0;100515
21;20.11.2020 0:00:00;1;0;97512
22;20.11.2020 0:00:00;1;0;93041
23;20.11.2020 0:00:00;1;0;90193
0;21.11.2020 0:00:00;1;0;87431
1;21.11.2020 0:00:00;1;0;86143
2;21.11.2020 0:00:00;1;0;85349
3;21.11.2020 0:00:00;1;0;84944
4;21.11.2020 0:00:00;1;0;86106
5;21.11.2020 0:00:00;1;0;88019
6;21.11.2020 0:00:00;1;0;90857
7;21.11.2020 0:00:00;1;0;94062
8;21.11.2020 0:00:00;1;0;97284
9;21.11.2020 0:00:00;1;0;99492
10;21.11.2020 0:00:00;1;0;100094
11;21.11.2020 0:00:00;1;0;99926
12;21.11.2020 0:00:00;1;0;99803
13;21.11.2020 0:00:00;1;0;99426
14;21.11.2020 0:00:00;1;0;100251
15;21.11.2020 0:00:00;1;0;101551
16;21.11.2020 0:00:00;1;0;103259
17;21.11.2020 0:00:00;1;0;103045
18;21.11.2020 0:00:00;1;0;101770
19;21.11.2020 0:00:00;1;0;99598
20;21.11.2020 0:00:00;1;0;97968
21;21.11.2020 0:00:00;1;0;95249
22;21.11.2020 0:00:00;1;0;91793
23;21.11.2020 0:00:00;1;0;88535
